Date : 2026-05-04 01:26:46
Directory : c:\mobile system manager
Total : 149 files,  23427 codes, -436 comments, 2227 blanks, all 25218 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\mobile system manager\textile-mobile\src\components\victory\hooks\useFunctionRef.ts                          | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\index.ts                                         | TypeScript     |          7 |         -7 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\pie\PieChart.tsx                                 | TypeScript JSX |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\pie\PieLabel.tsx                                 | TypeScript JSX |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\pie\PieSliceAngularInset.tsx                     | TypeScript JSX |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\pie\hooks\useSliceAngularInsetPath.ts            | TypeScript     |          7 |         -7 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\pie\hooks\useSlicePath.ts                        | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\pie\utils\innerRadius.ts                         | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\polar\PolarChart.tsx                             | TypeScript JSX |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\shared\GestureHandler.tsx                        | TypeScript JSX |          7 |         -7 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\types.ts                                         | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\utils\findClosestPoint.ts                        | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\utils\normalizeYAxisTicks.ts                     | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\utils\tickHelpers.ts                             | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\components\victory\utils\transform.ts                               | TypeScript     |          5 |         -5 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\constants\DesignSystem.ts                                           | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\constants\theme.ts                                                  | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useBiometricShield.ts                                         | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useBiometrics.ts                                              | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useCryptoEngine.ts                                            | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useHeartbeat.ts                                               | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useInterval.ts                                                | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useMesh.ts                                                    | TypeScript     |         10 |        -10 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useMessenger.ts                                               | TypeScript     |          8 |         -9 |          0 |         -1 |
| c:\mobile system manager\textile-mobile\src\hooks\useScanner.ts                                                 | TypeScript     |         11 |        -11 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useTacticalSync.ts                                            | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useTaskSubscriber.ts                                          | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\hooks\useTransaction.ts                                             | TypeScript     |          7 |         -7 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\CryptoService.ts                                                | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\HeartbeatService.ts                                             | TypeScript     |          8 |         -8 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\MobileCrypto.ts                                                 | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\PairingManager.ts                                               | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\auth\NoxisGuardian\index.js                                     | JavaScript     |          7 |          0 |          0 |          7 |
| c:\mobile system manager\textile-mobile\src\lib\auth\verifyTier.ts                                              | TypeScript     |        -18 |         -3 |         -4 |        -25 |
| c:\mobile system manager\textile-mobile\src\lib\db\meshDb.ts                                                    | TypeScript     |         37 |         -5 |          4 |         36 |
| c:\mobile system manager\textile-mobile\src\lib\gis\NoxisPathFinder.ts                                          | TypeScript     |          5 |         -5 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\mesh\NoxisSynapse\url.ts                                        | TypeScript     |          7 |         -7 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\mesh\mesh-client.ts                                             | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\mesh\tcp-client.ts                                              | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\notifications\HeadlessTask.ts                                   | TypeScript     |         54 |          0 |          7 |         61 |
| c:\mobile system manager\textile-mobile\src\lib\notifications\NotificationChannels.ts                           | TypeScript     |         79 |          0 |          6 |         85 |
| c:\mobile system manager\textile-mobile\src\lib\notifications\NotificationService.ts                            | TypeScript     |        238 |          0 |         31 |        269 |
| c:\mobile system manager\textile-mobile\src\lib\notifications\SentinelService.ts                                | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\notifications\notifee\NotifeeNativeError.ts                     | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\persona\PersonaEngine.ts                                        | TypeScript     |         50 |          0 |          1 |         51 |
| c:\mobile system manager\textile-mobile\src\lib\printer.ts                                                      | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\types.ts                                                        | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\lib\vision\NoxisScanEngine.ts                                       | TypeScript     |          7 |         -7 |          0 |          0 |
